text,label
"Sayın müşterimiz, vergi borcunuz üzerinde haciz işlemi başlatıldı. Cezai işlemden kaçınmak için formu doldurun.",1
e-devlet şifreniz farklı bir cihazdan giriş yapıldı. Güvenliğinizi sağlamak için işlemi tamamlayın.,1
"Sayın müşterimiz, şube çalışma saatlerimiz belirtilen adrese teslim edilecektir. Mobil uygulamamızı indirerek bizimle iletişime geçebilirsiniz.",0
Dikkat: aidat iadeniz hakkında suç duyurusu yapıldı. Borcunuzu hemen ödemek için uygulamamıza giriş yapın.,1
"Sayın müşterimiz, randevu detaylarınız için teşekkür ederiz. İşlemlerinizi hızlıca yapmak için kurumsal sayfalarımızı inceleyebilirsiniz.",0
Acil Bildirim: sosyal medya hesabınız farklı bir cihazdan giriş yapıldı. Güvenliğinizi sağlamak için verilen adrese gidin.,1
"Sayın Üyemiz, yeni ürün kampanyamız ile ilgili süreç tamamlanmıştır. İletişim formunu doldurarak bizimle iletişime geçebilirsiniz.",0
"Sayın müşterimiz, randevu detaylarınız web sitemizde güncellenmiştir. Müşteri temsilcimize bağlanarak çağrı merkezimizi arayabilirsiniz.",0
Dikkat: Netflix üyeliğiniz limitiniz aşıldı. Hesap dökümünüzü incelemek için bu adresi ziyaret edin.,1
müşteri hizmetleri numaramız e-posta adresinize gönderilmiştir. Kurumsal politikalarımızı okumak için resmi web sitemizi ziyaret edebilirsiniz.,0
"Sayın müşterimiz, müşteri hizmetleri numaramız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. Mobil uygulamamızı indirerek şubelerimize bekleriz.",0
Acil Bildirim: Apple kimliğiniz için iade tutarı onaylandı. Şifrenizi sıfırlamak için bu adresi ziyaret edin.,1
"Sayın müşterimiz, sipariş faturanız hakkında sıkça sorulan sorulara sitemizden ulaşabilirsiniz. İnternet şubemizi kullanarak kurumsal sayfalarımızı inceleyebilirsiniz.",0
"Sayın müşterimiz, kargo takip numaranız sistemlerimizde güvenle saklanmaktadır. Öneri ve şikayetleriniz için uygulamamızı mağazalardan güncelleyebilirsiniz.",0
Acil Bildirim: vergi borcunuz için iade tutarı onaylandı. Blokeyi kaldırmak için uygulamamıza giriş yapın.,1
randevu detaylarınız e-posta adresinize gönderilmiştir. Mobil uygulamamızı indirerek bizimle iletişime geçebilirsiniz.,0
"Sayın müşterimiz, sipariş faturanız belirtilen adrese teslim edilecektir. Müşteri temsilcimize bağlanarak uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Değerli yatırımcımız, mobil uygulamamız web sitemizde güncellenmiştir. İşlemlerinizi hızlıca yapmak için uygulamamızı mağazalardan güncelleyebilirsiniz.",0
"Sayın müşterimiz, aylık hesap özetiniz belirtilen adrese teslim edilecektir. Kampanyaları incelemek için mesai saatleri içinde arayabilirsiniz.",0
Dikkat: vergi borcunuz üzerinde haciz işlemi başlatıldı. Kargonuzu yeniden yönlendirmek için uygulamamıza giriş yapın.,1
Önemli uyarı: aidat iadeniz için iade tutarı onaylandı. Kargonuzu yeniden yönlendirmek için işlemi tamamlayın.,1
